Title,Type,Season,Total Episodes,Watched Episodes,Status,Score,Start Date,Finish Date,Times Watched,Rewatching,Priority,Tags,Comments
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",TV,,12,2,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Kimi wa Meido-sama.,TV,,12,1,Dropped,5,0000-00-00,0000-00-00,0,0,LOW,,
Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Kizetsu Yuusha to Ansatsu Hime,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Kizoku Tensei: Megumareta Umare kara Saikyou no Chikara wo Eru,TV,,12,12,Completed,7,0000-00-00,2026-04-01,0,0,LOW,,
Knight's & Magic,TV,,13,13,Completed,6,0000-00-00,0000-00-00,0,0,LOW,isekai,
Koi wa Sekai Seifuku no Ato de,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Kokkoku,TV,,12,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Koko wa Ore ni Makasete Saki ni Ike to Itte kara 10-nen ga Tattara Densetsu ni Natteita.,TV,,12,3,Watching,0,0000-00-00,0000-00-00,0,0,LOW,,
"Kono Healer, Mendokusai",TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Kono Sekai wa Fukanzen Sugiru,TV,,13,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Kono Subarashii Sekai ni Shukufuku wo!,TV,,10,10,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Kono Subarashii Sekai ni Shukufuku wo! 2,TV,,10,10,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
